cell_type1,full_name,cell_ontology_class,cell_ontology_id,remark,study,
10hpf-neural - telencephalon,telencephalon,neuronal stem cell,CL:0000047,larger than exact,Wagner,
10hpf-neural - midbrain,midbrain,midbrain dopaminergic neuron,CL:2000097,exact,Wagner,
10hpf-epidermal - gbx2,epidermal gbx2,epidermal cell,CL:0000362,exact,Wagner,
10hpf-anterior neural ridge,anterior neural ridge,neuronal stem cell,CL:0000047,larger than exact,Wagner,
10hpf-mesoderm - lateral plate - fli1a, lateral plate - fli1a,mesodermal cell,CL:0000222,larger than exact,Wagner,
10hpf-epidermal,epidermal,epidermal cell,CL:0000362,exact,Wagner,
10hpf-neural crest,neural crest,neural crest cell,CL:0011012,exact,Wagner,
10hpf-notocord,notocord,notochordal cell,CL:0007005,exact,Wagner,
10hpf-neural - hindbrain,hindbrain,neuronal stem cell,CL:0000047,larger than exact,Wagner,
10hpf-neural - anterior,anterior,neuronal stem cell,CL:0000047,larger than exact,Wagner,
10hpf-endoderm,endoderm,endodermal cell,CL:0000223,exact,Wagner,
10hpf-tailbud - PSM,tailbud Somitic Mesoderm,mesodermal cell,CL:0000222,larger than exact,Wagner,
10hpf-mesoderm - lateral plate - cxcl12a,lateral plate - cxcl12a,lateral mesodermal cell,CL:0011010,exact,Wagner,
10hpf-neural - diencephalon ,diencephalon,neuronal stem cell,CL:0000047,larger than exact,Wagner,
10hpf-epidermal - foxi3a,epidermal - foxi3a,epidermal cell,CL:0000362,exact,Wagner,
10hpf-germline,germline,germ line stem cell,CL:0000014,exact,Wagner,
10hpf-EVL,enveloping layer epidermis,early embryonic cell,CL:0000007,larger than exact,Wagner,
10hpf-mesoderm lateral plate - ripply1,mesoderm lateral plate - ripply1,lateral mesodermal cell,CL:0011010,exact,Wagner,
10hpf-differentiating neurons,differentiating neurons,neuronal stem cell,CL:0000047,exact,Wagner,
10hpf-mesoderm - adaxial cells,adaxial cell,adaxial cell,CL:0007016,exact,Wagner,
14hpf-epidermal - pfn1,epidermal - pfn1,epidermal cell,CL:0000362,exact,Wagner,
14hpf-optic primordium,optic primordium,neuronal stem cell,CL:0000047,larger than exact,Wagner,
14hpf-mesoderm - blood island,blood island,mesodermal cell,CL:0000222,larger than exact,Wagner,
14hpf-neural - diencephalon ,diencephalon ,neuronal stem cell,CL:0000047,exact,Wagner,
14hpf-tailbud - PSM,tailbud Somitic Mesoderm,mesodermal cell,CL:0000222,larger than exact,Wagner,
14hpf-epidermal anterior,epidermal cell,epidermal cell,CL:0000362,exact,Wagner,
14hpf-neural - hindbrain,hindbrain,neuronal stem cell,CL:0000047,larger than exact,Wagner,
14hpf-endoderm,endoderm,endodermal cell,CL:0000223,exact,Wagner,
14hpf-epidermal - foxi3a,epidermal cell,epidermal cell,CL:0000362,exact,Wagner,
14hpf-neural crest,neural crest,neural crest cell,CL:0011012,exact,Wagner,
14hpf-mesoderm - pharyngeal arch,pharyngeal arch,embryonic cell,CL:0002321,larger than exact,Wagner,
14hpf-notocord,notochordal cell,notochordal cell,CL:0007005,exact,Wagner,
14hpf-epidermal - otic placode,neuroplacodal cell,neuroplacodal cell,CL:0000032,exact,Wagner,
14hpf-mesoderm - heart field,mesodermal  heart field,mesodermal cell,CL:0000222,larger than exact,Wagner,
14hpf-differentiating neurons - rohon beard,rohon beard,Rohon-Beard neuron,CL:0000247,exact,Wagner,
14hpf-mesoderm - lateral plate - cxcl12a,lateral plate cxcl12a,lateral mesodermal cell,CL:0011010,exact,Wagner,
14hpf-neural crest - crestin,neural crest,neural crest cell,CL:0011012,exact,Wagner,
14hpf-neural - midbrain,midbrain,midbrain dopaminergic neuron,CL:2000097,exact,Wagner,
14hpf-mesoderm - pronephric duct,pronephric duct,pronephric nephron tubule epithelial cell,CL:1000090,exact,Wagner,
14hpf-neural -  floorplate,neural -  floorplate,neurecto-epithelial cell,CL:0000710,larger than exact,Wagner,
14hpf-germline,germline,germ line stem cell,CL:0000014,exact,Wagner,
14hpf-hatching gland,hatching gland cell,hatching gland cell,CL:0000249,exact,Wagner,
14hpf-periderm,peridermal cell,peridermal cell,CL:0000078,exact,Wagner,
14hpf-mesoderm - endothelial,endothelial cell,endothelial cell,CL:0000115,exact,Wagner,
14hpf-tailbud - spinal cord,spinal cord,spinal cord interneuron,CL:0005000,exact,Wagner,
14hpf-neural - telencephalon,telencephalon,neuronal stem cell,CL:0000047,larger than exact,Wagner,
14hpf-lateral line primordium,lateral line primordium,primordial germ cell,CL:0000670,larger than exact,Wagner,
14hpf-differentiating neurons,differentiating neurons,neuronal stem cell,CL:0000047,exact,Wagner,
18hpf-neural - diencephalon ,diencephalon,neuronal stem cell,CL:0000047,larger than exact,Wagner,
18hpf-neural - midbrain,midbrain,midbrain dopaminergic neuron,CL:2000097,exact,Wagner,
18hpf-epidermal - olfactory placode,olfactory placode,neuroplacodal cell,CL:0000032,exact,Wagner,
18hpf-neural - telencephalon,telencephalon,neuronal stem cell,CL:0000047,larger than exact,Wagner,
18hpf-neural - dorsal hindbrain,hindbrain,neuronal stem cell,CL:0000047,larger than exact,Wagner,
18hpf-differentiating neurons,differentiating neurons,neuronal stem cell,CL:0000047,larger than exact,Wagner,
18hpf-ionocyte - ca2,ionocyte,ionocyte,CL:0005006,exact,Wagner,
18hpf-epidermal - anterior,epidermal - anterior,epidermal cell,CL:0000362,exact,Wagner,
18hpf-hatching gland,hatching gland cell,hatching gland cell,CL:0000249,exact,Wagner,
18hpf-epidermal - sox4b,epidermal - sox4b,epidermal cell,CL:0000362,exact,Wagner,
18hpf-optic cup,optic cup,embryonic cell,CL:0002321,larger than exact,Wagner,
18hpf-tailbud - spinal cord,spinal cord,spinal cord interneuron,CL:0005000,exact,Wagner,
18hpf-pectoral fin field,pectoral fin field,embryonic cell,CL:0002321,larger than exact,Wagner,
18hpf-heart field,heart field,embryonic cell,CL:0002321,larger than exact,Wagner,
18hpf-lens placode,placode,neuroplacodal cell,CL:0000032,exact,Wagner,
18hpf-neural crest - grem2,neural crest,neural crest cell,CL:0011012,exact,Wagner,
18hpf-erythroid,erythroid,erythroid progenitor cell,CL:0000038,exact,Wagner,
18hpf-macrophage,macrophage,macrophage,CL:0000235,exact,Wagner,
18hpf-tailbud - PSM,tailbud Somitic Mesoderm,mesodermal cell,CL:0000222,larger than exact,Wagner,
18hpf-myotome,myotome,muscle cell,CL:0000187,larger than exact,Wagner,
18hpf-notocord,notochordal cell,notochordal cell,CL:0007005,exact,Wagner,
18hpf-endothelial,endothelial cell,endothelial cell,CL:0000115,exact,Wagner,
18hpf-otic placode,neuroplacodal cell,neuroplacodal cell,CL:0000032,exact,Wagner,
18hpf-neural - hindbrain ventral nkx6.2,hindbrain,neuronal stem cell,CL:0000047,larger than exact,Wagner,
18hpf-germline,germline,germ line stem cell,CL:0000014,exact,Wagner,
18hpf-epiphysis,epiphysis,embryonic cell,CL:0002321,larger than exact,Wagner,
18hpf-pronephric duct - posterior,pronephric duct posterior,pronephric nephron tubule epithelial cell,CL:1000090,larger than exact,Wagner,
18hpf-neural -  floorplate,neural -  floorplate,neurecto-epithelial cell,CL:0000710,larger than exact,Wagner,
18hpf-heart mature,heart mature,cardiac muscle cell,CL:0000746,exact,Wagner,
18hpf-macrophage - ly75,macrophage,macrophage,CL:0000235,exact,Wagner,
18hpf-pronephric duct,pronephric duct,pronephric nephron tubule epithelial cell,CL:1000090,exact,Wagner,
18hpf-periderm,peridermal cell,peridermal cell,CL:0000078,exact,Wagner,
18hpf-pancreas primordium,pancreas primordium,embryonic cell,CL:0002321,larger than exact,Wagner,
18hpf-differentiating neurons - rohon beard,rohon beard,Rohon-Beard neuron,CL:0000247,exact,Wagner,
18hpf-retina pigmented epithelium,retina pigmented epithelium,epithelial cell,CL:0000066,larger than exact,Wagner,
